customer_id,product_name,name,email,address,product_price,order_date,quantity
9624,Licensed Rubber Hat,Krystal Hirthe,Irma_Metz62@hotmail.com,17169 Kennith Pass,432.00,Tue Jan 24 2023 15:16:43 GMT-0500 (Eastern Standard Time),6
7868,Unbranded Cotton Towels,Erma Boyle,Presley12@hotmail.com,854 Melany Stream,545.00,Tue Jan 24 2023 06:33:26 GMT-0500 (Eastern Standard Time),21
989,Rustic Soft Chips,Mr. Jennifer Nitzsche,Thomas57@hotmail.com,0428 Ena Dale,628.00,Tue Jan 24 2023 06:04:52 GMT-0500 (Eastern Standard Time),43
7065,Incredible Plastic Sausages,Allan Wisoky,Dominique80@yahoo.com,1271 Pat Path,310.00,Mon Jan 23 2023 21:07:22 GMT-0500 (Eastern Standard Time),52
7384,Incredible Frozen Pizza,Jo Nolan,Marlin.Goldner@gmail.com,209 Maurine Manors,708.00,Tue Jan 24 2023 03:40:33 GMT-0500 (Eastern Standard Time),93
9541,Recycled Fresh Towels,Suzanne Collins,Pablo95@yahoo.com,0176 Trudie Throughway,596.00,Tue Jan 24 2023 06:38:03 GMT-0500 (Eastern Standard Time),58
8175,Recycled Granite Keyboard,Jenny Ullrich,Aiden52@hotmail.com,6425 McDermott Squares,344.00,Tue Jan 24 2023 14:09:41 GMT-0500 (Eastern Standard Time),65
4951,Rustic Concrete Pants,Noah Kassulke,Kaycee84@yahoo.com,57280 Antonetta Junction,154.00,Tue Jan 24 2023 01:21:23 GMT-0500 (Eastern Standard Time),56
6892,Generic Frozen Tuna,Patti Wolf,Guadalupe84@yahoo.com,66903 Albert Cove,965.00,Tue Jan 24 2023 16:28:05 GMT-0500 (Eastern Standard Time),43
5156,Unbranded Soft Gloves,Percy Goyette,Bryana_Labadie6@hotmail.com,7984 Lilla Pike,314.00,Tue Jan 24 2023 17:27:27 GMT-0500 (Eastern Standard Time),5
5178,Recycled Plastic Chicken,Antoinette Hilpert V,General_Stamm18@hotmail.com,595 Harvey Crossing,165.00,Tue Jan 24 2023 14:18:42 GMT-0500 (Eastern Standard Time),52
1680,Handcrafted Cotton Chicken,Dr. Leslie Bergnaum,Laney70@gmail.com,49731 Schiller Courts,746.00,Tue Jan 24 2023 07:25:58 GMT-0500 (Eastern Standard Time),19
2419,Incredible Concrete Computer,Ralph Barrows,Audrey42@hotmail.com,8236 Gene Ferry,111.00,Mon Jan 23 2023 21:30:28 GMT-0500 (Eastern Standard Time),55
4054,Handcrafted Wooden Mouse,Ms. Gabriel Harris,Emily_Miller@yahoo.com,34643 Bahringer Route,46.00,Tue Jan 24 2023 07:55:57 GMT-0500 (Eastern Standard Time),65
2774,Modern Wooden Fish,Marion Koepp,Casimer_Nader86@yahoo.com,315 Jerde Ramp,731.00,Tue Jan 24 2023 10:12:25 GMT-0500 (Eastern Standard Time),32
3075,Intelligent Bronze Gloves,Dallas Auer III,Laverna_Hirthe@hotmail.com,2821 Roosevelt Ridge,741.00,Tue Jan 24 2023 09:12:19 GMT-0500 (Eastern Standard Time),16
2186,Luxurious Soft Pants,Jodi Schroeder,Sam_Upton@gmail.com,7891 Chyna Cape,585.00,Mon Jan 23 2023 21:04:30 GMT-0500 (Eastern Standard Time),43
